text
"On 12 March 2025 at 12:33, an incident occurred at Paint Shop. Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to concussion. Frankie Smith from the Health & Safety department was involved. The incident was reported by Avery Robinson."
"The incident was reported by Avery Lewis. On 23 November 2024 at 23:41, an incident occurred at Electrical Bay. Peyton Parker from the Dockyard Operations department was involved. Hearing damage from loud machinery Exposure to toxic fumes led to burns."
"Exposure to asbestos led to burns. Minor cuts and bruises The incident was reported by Skyler Parker. Sydney Bailey from the Environmental Services department was involved. On 22 June 2024 at 04:05, an incident occurred at Fleet Garage."
"Negative: blocked emergency exit was observed but not corrected. The incident was reported by Jordan Holmes. On 20 February 2025 at 16:44, an incident occurred at IT Server Room. Jesse Reed from the IT department was involved."
"Rowan West from the Security department was involved. All crane was used correctly during repairing the hull. The incident was reported by Casey Parker. On 26 April 2024 at 20:17, an incident occurred at Maintenance Shed."
"On 26 December 2024 at 23:04, an incident occurred at Dockyard North. Paint crew followed confined space entry without violations. The incident was reported by Skyler Lee. Charlie Walker from the Communications department was involved."
"Negative: untidy cables was observed but not corrected. On 08 March 2025 at 18:40, an incident occurred at IT Server Room. The incident was reported by Jesse Clark. Avery Morgan from the HR department was involved."
"Negative: missing guardrails was observed but not corrected. On 06 June 2024 at 17:42, an incident occurred at Dry Dock 1. Blake West from the Finance department was involved. The incident was reported by Emerson Allen."
"The incident was reported by Blake Morgan. On 10 March 2024 at 13:54, an incident occurred at Engineering Workshop. Negative: missing guardrails was observed but not corrected. Casey Bennett from the Quality Assurance department was involved."
"Negative: missing guardrails was observed but not corrected. Avery Morgan from the Research & Development department was involved. The incident was reported by Taylor Allen. On 04 June 2025 at 12:24, an incident occurred at IT Server Room."
"Jesse Robinson from the Communications department was involved. On 20 June 2024 at 22:01, an incident occurred at IT Server Room. The incident was reported by Elliot Johnson. Paint crew followed confined space entry without violations."
"The incident was reported by Frankie Davis. All grinder was used correctly during painting. Frankie Johnson from the Operations department was involved. On 27 July 2024 at 02:28, an incident occurred at Maintenance Shed."
"Jordan Murray from the HR department was involved. The incident was reported by Alex Pearson. On 22 February 2025 at 07:52, an incident occurred at Warehouse A. Scaffolders followed confined space entry without violations."
"Welding team followed PPE guidelines without violations. On 03 July 2025 at 09:32, an incident occurred at Cafeteria. Finley Robinson from the Ship Maintenance department was involved. The incident was reported by Drew Brown."
"The incident was reported by Harper Robinson. Negative: untidy cables was observed but not corrected. On 22 June 2025 at 02:39, an incident occurred at Maintenance Shed. Dakota Sullivan from the Facilities department was involved."
"The incident was reported by Logan Foster. Welding team followed PPE guidelines without violations. Drew Murphy from the Environmental Services department was involved. On 28 August 2024 at 16:38, an incident occurred at Electrical Bay."
"On 21 May 2024 at 07:57, an incident occurred at IT Server Room. Scaffolders followed confined space entry without violations. Quinn Foster from the Engineering department was involved. The incident was reported by Charlie Fisher."
"Welding team followed PPE guidelines without violations. The incident was reported by Dakota West. Avery Murphy from the IT department was involved. On 06 May 2024 at 13:05, an incident occurred at Office - Admin Block."
"The incident was reported by Rowan Cooper. Negative: untidy cables was observed but not corrected. On 20 February 2024 at 23:03, an incident occurred at Training Room. Sydney Fisher from the Logistics department was involved."
"All forklift was used correctly during painting. On 28 May 2024 at 05:14, an incident occurred at Reception Area. Emerson Johnson from the Training & Development department was involved. The incident was reported by Riley West."
"Charlie Bennett from the Training & Development department was involved. On 31 August 2024 at 17:36, an incident occurred at Training Room. All grinder was used correctly during welding. The incident was reported by Finley Sullivan."
"All crane was used correctly during repairing the hull. The incident was reported by Sydney Murray. On 23 April 2025 at 05:30, an incident occurred at Electrical Bay. Elliot Robinson from the IT department was involved."
"Alex Lewis from the Health & Safety department was involved. All grinder was used correctly during welding. On 24 May 2025 at 06:31, an incident occurred at Dry Dock 1. The incident was reported by Harper Ward."
"On 20 May 2025 at 06:01, an incident occurred at Main Gate Security. Cameron Murphy from the Health & Safety department was involved. All grinder was used correctly during repairing the hull. The incident was reported by Casey Kennedy."
"Sawyer Parker from the IT department was involved. On 03 January 2024 at 16:25, an incident occurred at Shipyard Pier. Scaffolders followed lockout/tagout without violations. The incident was reported by Skyler Morgan."
"Negative: missing guardrails was observed but not corrected. The incident was reported by Rowan Johnson. On 24 September 2024 at 10:52, an incident occurred at Tool Crib. Cameron Lewis from the Communications department was involved."
"All grinder was used correctly during repairing the hull. On 18 February 2025 at 02:22, an incident occurred at Paint Shop. The incident was reported by Avery West. Reese Lewis from the Finance department was involved."
"The incident was reported by Quinn Lee. On 27 October 2024 at 15:10, an incident occurred at Dry Dock 2. Riley Sullivan from the HR department was involved. Scaffolders followed lockout/tagout without violations."
"The incident was reported by Quinn Smith. Harper Bailey from the Legal department was involved. Welding team followed PPE guidelines without violations. On 19 January 2024 at 20:44, an incident occurred at Warehouse A."
"Elliot Graham from the Security department was involved. On 27 August 2024 at 20:32, an incident occurred at IT Server Room. The incident was reported by Rowan Murphy. All forklift was used correctly during painting."
"All forklift was used correctly during welding. The incident was reported by Sydney Ward. Jesse Payne from the Facilities department was involved. On 29 May 2024 at 09:53, an incident occurred at Dockyard North."
"All forklift was used correctly during painting. On 05 June 2024 at 17:45, an incident occurred at Electrical Bay. The incident was reported by Peyton Payne. Alex Kennedy from the Customer Service department was involved."
"On 02 October 2024 at 11:41, an incident occurred at Training Room. The incident was reported by Morgan Walker. Scaffolders followed confined space entry without violations. Riley Bailey from the Warehouse department was involved."
"The incident was reported by Riley Allen. Welding team followed lockout/tagout without violations. Casey Smith from the Logistics department was involved. On 03 March 2025 at 12:35, an incident occurred at Reception Area."
